"State","Year","Vat_MillionEuro","Paye_Income_Tax_MillionEuro","Self_Employed_MillionEuro","Corporate_Tax_MillionEuro","Capital_Gain_MillionEuro"
"Carlow",2013,44.62,78.18,23.23,5.44,2.05
"Cavan",2013,61.92,107.46,26.48,8.8,1.98
"Clare",2013,76.15,209.6,42.4,83.28,3.89
"Cork",2013,835.24,1114.59,306.04,694.19,31.17
"Donegal",2013,86.06,101.39,48.03,17.66,6.46
"Dublin",2013,5403.08,6694.28,1153.57,2735.62,147.68
"Galway",2013,211.99,543.38,126.63,72.49,21.99
"Kerry",2013,104.46,453.3,78.09,24.65,30.41
"Kildare",2013,304.31,362.75,101.94,74.23,15.71
"Kilkenny",2013,68.71,194.54,52.61,21.08,3.98
"Laois",2013,46.87,37.06,26.95,4.02,3.07
"Leitrim",2013,14.83,102.4,9.67,2.89,0.64
"Limerick",2013,186.88,390.78,88.8,95.83,11.67
"Longford",2013,18.75,34.32,14.12,3.73,0.88
"Louth",2013,138.62,170.61,39.64,20.03,4.71
"Mayo",2013,107.01,133.82,51.25,51.39,2.88
"Meath",2013,164.8,259.61,119.68,56.49,9.14
"Monaghan",2013,47.76,54.03,22.08,12.62,1
"Offaly",2013,48.53,216.28,29.08,6.53,8.87
"Roscommon",2013,37.93,35.14,21.92,4.04,3.6
"Sligo",2013,36.99,100.21,27.38,46.95,1.42
"Tipperary",2013,127.99,135.85,86.23,32.23,7.57
"Waterford",2013,76.63,172.76,60.19,26.1,5.65
"Westmeath",2013,60.73,770.66,47.78,14.78,4.7
"Wexford",2013,100.98,122.46,65.52,30.56,6.45
"Wicklow",2013,151.6,189.68,84.12,70.14,15.75
"Other ",2013,487.58,169.83,43.56,54.22,13.71
