"State","Year","Vat_MillionEuro","Paye_Income_Tax_MillionEuro","Self_Employed_MillionEuro","Corporate_Tax_MillionEuro","Capital_Gain_MillionEuro"
"Carlow",2014,46.71,85.39,25.16,6.93,1.4
"Cavan",2014,63.3,104.5,30.55,11.92,1.41
"Clare",2014,86.51,236.83,48.22,80.61,5.09
"Cork",2014,872.33,1213.84,341.09,764.52,32.22
"Donegal",2014,87.73,119.14,52.28,21.71,7.63
"Dublin",2014,5796.67,7271.24,1358.03,3006.14,242.51
"Galway",2014,226.15,579.89,138.04,80.44,40.12
"Kerry",2014,109.28,475.29,84.7,17.28,22.88
"Kildare",2014,345.02,423.66,133.76,81.44,12.32
"Kilkenny",2014,70.31,197.04,58.88,15.46,3.89
"Laois",2014,47.6,42.82,29.39,3.99,3.67
"Leitrim",2014,14.69,105.57,10.95,3.88,0.4
"Limerick",2014,185.49,416.48,101.57,69.15,33.82
"Longford",2014,19.81,33.75,15.94,2.6,0.86
"Louth",2014,144.39,175.78,47.27,21.72,7.13
"Mayo",2014,111.88,149.91,55.87,50.85,4.14
"Meath",2014,182.36,278.68,112.45,66.53,11.66
"Monaghan",2014,51.27,62.68,24.53,17.51,1.65
"Offaly",2014,60.11,222.25,30.61,12.06,4.4
"Roscommon",2014,46.59,37.59,29.62,4.35,2.89
"Sligo",2014,37.81,85.45,30.68,18.45,2.27
"Tipperary",2014,135.44,148.87,93.93,28.56,7.92
"Waterford",2014,86.05,172.65,67.91,14.43,5.78
"Westmeath",2014,65.94,786.86,46.16,21.02,5.94
"Wexford",2014,110.8,140.96,71.83,32.15,6.5
"Wicklow",2014,156.35,198,99.84,112.43,18.5
"Other ",2014,519.4,185.89,42.75,50.88,51.99
